run,index,valence_1,valence_2,valence_3,valence_4,valence_5,valence_6,valence_7,valence_8,arousal_1,arousal_2,arousal_3,arousal_4,arousal_5,arousal_6,arousal_7,arousal_8
S01E02R01,S01E02R01_clip0105,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0106,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0107,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0108,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0109,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0110,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0111,5.0,1.0,,,,,,,1.0,4.0,,,,,,
S01E02R01,S01E02R01_clip0112,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0113,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0114,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0115,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0116,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0117,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0118,4.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0119,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0120,3.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0121,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0122,3.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0123,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0124,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0125,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0126,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0127,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0128,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0129,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0130,5.0,1.0,,,,,,,1.0,7.0,,,,,,
S01E02R01,S01E02R01_clip0131,4.0,1.0,,,,,,,1.0,5.0,,,,,,
S01E02R01,S01E02R01_clip0132,4.0,1.0,,,,,,,1.0,5.0,,,,,,
S01E02R01,S01E02R01_clip0133,4.0,1.0,,,,,,,1.0,3.0,,,,,,
S01E02R01,S01E02R01_clip0134,5.0,1.0,,,,,,,1.0,5.0,,,,,,
S01E02R01,S01E02R01_clip0135,5.0,1.0,,,,,,,1.0,5.0,,,,,,
S01E02R01,S01E02R01_clip0136,5.0,1.0,,,,,,,1.0,3.0,,,,,,
S01E02R01,S01E02R01_clip0137,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0138,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0139,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0140,5.0,1.0,,,,,,,1.0,2.0,,,,,,
S01E02R01,S01E02R01_clip0141,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0142,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0143,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0144,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0145,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0146,5.0,1.0,,,,,,,1.0,5.0,,,,,,
S01E02R01,S01E02R01_clip0147,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0148,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0149,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0150,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0151,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0152,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0153,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0154,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0155,7.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0156,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0157,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0158,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0159,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0160,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0161,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0162,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0163,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0164,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0165,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0166,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0167,5.0,1.0,,,,,,,1.0,1.0,,,,,,
S01E02R01,S01E02R01_clip0168,5.0,1.0,,,,,,,1.0,1.0,,,,,,
