cap	metric	emotion_dimension	r	p_value	n	significant	effect_size	is_dwell_metric	metric_mean	metric_std	emotion_mean	emotion_std
CAP_1	max_dwell_time	valence	0.1842319882135136	0.24282370262360461	42	False	small	True	0.21428571428571427	0.4152997322366327	4.684283117872137	1.667850283368099
CAP_1	max_dwell_time	arousal	0.16320646012258425	0.3017332805269126	42	False	small	True	0.21428571428571427	0.4152997322366327	3.8644786872179897	1.622298246220171
CAP_1	max_dwell_time	valence_t	0.1842319882135136	0.24282370262360461	42	False	small	True	0.21428571428571427	0.4152997322366327	50.0	10.121216546949478
CAP_1	max_dwell_time	arousal_t	0.16320646012258416	0.3017332805269126	42	False	small	True	0.21428571428571427	0.4152997322366327	50.0	10.121216546949476
CAP_1	std_dwell_time	valence			42	False	large	True	0.0	0.0	4.684283117872137	1.667850283368099
CAP_1	std_dwell_time	arousal			42	False	large	True	0.0	0.0	3.8644786872179897	1.622298246220171
CAP_1	std_dwell_time	valence_t			42	False	large	True	0.0	0.0	50.0	10.121216546949478
CAP_1	std_dwell_time	arousal_t			42	False	large	True	0.0	0.0	50.0	10.121216546949476
CAP_1	total_dwell_time	valence	0.1842319882135136	0.24282370262360461	42	False	small	True	0.21428571428571427	0.4152997322366327	4.684283117872137	1.667850283368099
CAP_1	total_dwell_time	arousal	0.16320646012258425	0.3017332805269126	42	False	small	True	0.21428571428571427	0.4152997322366327	3.8644786872179897	1.622298246220171
CAP_1	total_dwell_time	valence_t	0.1842319882135136	0.24282370262360461	42	False	small	True	0.21428571428571427	0.4152997322366327	50.0	10.121216546949478
CAP_1	total_dwell_time	arousal_t	0.16320646012258416	0.3017332805269126	42	False	small	True	0.21428571428571427	0.4152997322366327	50.0	10.121216546949476
CAP_1	avg_dwell_time_sec	valence	0.1842319882135136	0.24282370262360461	42	False	small	True	0.32142857142857145	0.6229495983549491	4.684283117872137	1.667850283368099
CAP_1	avg_dwell_time_sec	arousal	0.1632064601225842	0.3017332805269126	42	False	small	True	0.32142857142857145	0.6229495983549491	3.8644786872179897	1.622298246220171
CAP_1	avg_dwell_time_sec	valence_t	0.18423198821351366	0.24282370262360461	42	False	small	True	0.32142857142857145	0.6229495983549491	50.0	10.121216546949478
CAP_1	avg_dwell_time_sec	arousal_t	0.1632064601225842	0.3017332805269126	42	False	small	True	0.32142857142857145	0.6229495983549491	50.0	10.121216546949476
CAP_1	transitions_out	valence			42	False	large	False	0.0	0.0	4.684283117872137	1.667850283368099
CAP_1	transitions_out	arousal			42	False	large	False	0.0	0.0	3.8644786872179897	1.622298246220171
CAP_1	transitions_out	valence_t			42	False	large	False	0.0	0.0	50.0	10.121216546949478
CAP_1	transitions_out	arousal_t			42	False	large	False	0.0	0.0	50.0	10.121216546949476
